Name,AGE,SOCIAL SECUIRTY,ALLERGIES,Doctor,Chickenpox (Varicella),Diphtheria.,Flu (Influenza),Hepatitis A.,Hepatitis B.,Hib (Haemophilus influenzae type b),HPV (Human Papillomavirus),Measles,Mumps,Shingles
Jayme,64,365-28-2991,Pet Hair Mold,Dr. O'Connor,1,1,0,1,1,1,1,1,1,1
Jaysen,47,421-26-6057,,Dr. Rossi,1,1,1,1,1,1,1,1,1,1
Jesse,38,937-34-8914,Tree Nuts Penicillin,Dr. Peters,1,1,0,1,1,1,1,1,1,1
Johan,48,254-21-3388,,Dr. Sherman,1,1,1,1,1,1,1,1,1,1
Johannes,8,673-02-9772,Fish and shellfish Soy Wheat,Dr. Williamson,1,1,1,1,1,1,1,1,1,1
John-Robert,54,936-53-7525,Pet Hair,Dr. Graham,1,1,0,1,1,1,1,1,1,1
Johnnie,12,912-18-5945,Tree Nuts Mold,Dr. Armstrong,1,1,0,1,1,1,1,1,1,1
Jon,61,495-71-4824,Wheat Cow's milk Fish and shellfish,Dr. Black,1,1,0,1,1,1,1,1,1,1
Jonasz,51,589-79-2781,Fish and shellfish Soy Penicillin,Dr. Hamilton,1,1,0,1,1,1,1,1,1,1
Jonny,31,302-61-9039,,Dr. Elliott,1,1,0,1,1,1,1,1,1,1
Jorden,8,404-79-3732,Mold Wheat Fish and shellfish,Dr. Burgess,1,1,0,1,0,1,1,1,1,0
Josef,24,097-07-3454,,Dr. Graham,1,1,1,1,1,1,1,1,1,1
Joss,0,315-46-3453,Fish and shellfish Dust Mites Soy,Dr. Barnett,1,1,0,1,1,1,1,1,1,1
Jozef,31,282-68-5861,Soy Mold Fish and shellfish,Dr. Atherton,1,1,1,1,1,1,1,1,1,1
Jun,9,305-35-6041,Fish and shellfish Tree Nuts,Dr. Hamilton,1,1,1,1,1,1,1,1,1,1
Kael,67,163-40-7419,,Dr. Terry,1,1,0,1,1,1,1,1,1,1
Kallen,56,361-33-1599,Mold Tree Nuts,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Kalvyn,64,752-42-2004,Fish and shellfish Pet Hair,Dr. Myers,1,1,1,1,1,1,1,1,1,1
Karam,69,397-13-2857,Tree Nuts Dust Mites,Dr. Atherton,1,1,1,1,1,1,1,1,1,1
Kavin,67,570-72-2451,Cow's milk Mold Pet Hair,Dr. Flores,1,1,0,1,0,1,1,1,1,0
Kaydin,78,036-07-9195,Penicillin,Dr. Carrillo,1,1,1,1,1,1,1,1,1,1
Kaylan,63,632-65-6159,Tree Nuts Mold Cow's milk,Dr. Fuller,1,1,0,1,1,1,1,1,1,1
Keagan,61,852-62-3402,Soy Cow's milk,Dr. Stanley,1,1,1,1,1,1,1,1,1,1
Keaghan,72,392-40-3558,Pollen Penicillin Latex,Dr. Williamson,1,1,1,1,1,1,1,1,1,1
Keanu,39,176-99-3408,Pet Hair Dust Mites Penicillin,Dr. Joyce,1,1,1,1,1,1,1,1,1,1
Keaton,48,285-10-2907,Fish and shellfish Soy Dust Mites,Dr. Love,1,1,0,1,1,1,1,1,1,1
Keenan,44,131-16-8310,,Dr. Mcdonald,1,1,1,1,1,1,1,1,1,1
Keigan,40,154-95-3022,,Dr. Patterson,1,1,0,1,0,0,0,0,0,0
Keiren,15,095-87-3429,,Dr. Strickland,1,1,0,1,1,1,1,1,1,1
Keiron,68,189-51-2178,Pollen Latex,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Kelan,47,394-81-5662,Dust Mites,Dr. O'Connor,1,1,1,1,1,1,1,1,1,1
Kell,49,915-58-2781,Dust Mites Tree Nuts Pet Hair,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Kellan,30,031-81-3546,Wheat Penicillin,Dr. Mckenna,1,1,1,1,1,1,1,1,1,1
Kerem,19,291-77-1353,Pollen Wheat,Dr. Watson,1,1,1,1,1,1,1,1,1,1
Keyaan,52,209-62-0721,Latex,Dr. Cook,1,1,1,1,1,1,1,1,1,1
Khalid,51,685-40-6781,Pollen,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Kiain,24,311-13-3894,Pet Hair,Dr. Atherton,1,1,1,1,1,1,1,1,1,1
Kiegan,12,225-27-6706,Pet Hair Mold Dust Mites,Dr. Barnett,1,1,1,1,1,1,1,1,1,1
Killian,35,393-66-4472,,Dr. Taylor,1,1,0,1,0,1,1,1,1,0
Kirk,53,330-83-5893,Pollen Soy Latex,Dr. Figueroa,1,1,0,1,0,1,1,1,0,0
Kit,20,395-27-1795,Tree Nuts Penicillin,Dr. Elliott,1,1,1,1,1,1,1,1,1,1
Klay,71,954-06-5767,,Dr. Williamson,1,1,0,1,1,1,1,1,1,1
Kohl,52,624-81-8910,Cow's milk Penicillin Pet Hair,Dr. Hawkins,1,1,1,1,1,1,1,1,1,1
Konnor,47,393-96-7032,,Dr. Crossley,1,1,1,1,1,1,1,1,1,1
Koray,68,326-00-0610,Cow's milk,Dr. Figueroa,1,1,1,1,1,1,1,1,1,1
Kori,38,282-82-1445,Tree Nuts,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Kornel,9,078-54-6142,Penicillin Pollen Mold,Dr. Park,1,1,0,1,0,1,1,0,0,0
Kory,33,102-59-9231,Fish and shellfish Tree Nuts,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Krish,46,838-03-6855,,Dr. Field,1,1,0,1,1,1,1,1,1,1
Krzysztof,50,394-37-1141,Soy Penicillin,Dr. Keller,1,1,1,1,1,1,1,1,1,1
Kuba,24,959-28-1759,Pet Hair Pollen Soy,Dr. Cunningham,1,1,1,1,1,1,1,1,1,1
Kurtis,10,635-16-9597,Pollen Wheat Tree Nuts,Dr. Fuller,1,1,1,1,1,1,1,1,1,1
Kyeron,41,118-42-5331,Fish and shellfish Pet Hair Cow's milk,Dr. Taylor,1,1,1,1,1,1,1,1,1,1
Kyler,64,499-35-4799,,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Kyren,24,083-88-2377,Pollen Latex Fish and shellfish,Dr. Dean,1,1,0,1,1,1,1,1,1,1
Laith,80,380-35-1174,,Dr. Elliott,1,1,0,1,0,1,1,1,0,0
Laurie,36,751-36-1153,Pet Hair,Dr. Park,1,1,1,1,1,1,1,1,1,1
Lawson,21,990-57-6720,Mold Tree Nuts Dust Mites,Dr. Alvarado,1,1,0,1,1,1,1,1,1,1
Leeroy,23,385-87-3697,Dust Mites Cow's milk,Dr. Abbott,1,1,0,1,1,1,1,1,1,1
Leith,70,264-96-8400,Penicillin Latex Dust Mites,Dr. Patterson,1,1,0,1,1,1,1,1,1,1
Lemuel,74,994-13-3037,Wheat Cow's milk,Dr. Burns,1,1,0,1,1,1,1,1,1,1
Lenny,62,335-55-3310,Fish and shellfish Soy Penicillin,Dr. Thornton,1,1,1,1,1,1,1,1,1,1
Leonard,24,376-92-1134,Latex Pollen,Dr. Wilkins,1,1,1,1,1,1,1,1,1,1
Leonid,43,443-95-2314,Pet Hair,Dr. Waters,1,1,1,1,1,1,1,1,1,1
Leslie,77,838-53-9934,,Dr. Alexander,1,1,1,1,1,1,1,1,1,1
Lionel,33,496-69-2235,,Dr. Sharp,1,1,1,1,1,1,1,1,1,1
Loic,28,628-33-8748,Cow's milk,Dr. Wallace,1,1,0,1,1,1,1,1,1,1
Lorcan,6,465-10-7508,Pet Hair Dust Mites,Dr. Wilkins,1,1,1,1,1,1,1,1,1,1
Lucan,11,914-22-2252,Cow's milk Soy Mold,Dr. Naylor,1,1,0,1,1,1,1,1,1,1
Ludovic,45,637-28-9298,Tree Nuts Fish and shellfish Pet Hair,Dr. Wood,1,1,0,1,0,1,1,1,1,0
Lukasz,66,540-58-3157,Tree Nuts Mold,Dr. Dean,1,1,1,1,1,1,1,1,1,1
Lynden,48,235-49-7924,,Dr. Stanley,1,1,1,1,1,1,1,1,1,1
Macaulay,74,756-52-4174,Pollen Soy Mold,Dr. Pham,1,1,0,1,0,1,1,1,1,0
Mackie,64,961-58-0297,Penicillin,Dr. Bailey,1,1,1,1,1,1,1,1,1,1
Mahmoud,69,683-50-7587,Wheat Tree Nuts Pet Hair,Dr. Reynolds,1,1,0,1,1,1,1,1,1,1
Maksym,53,826-03-9825,Mold Penicillin Cow's milk,Dr. Wise,1,1,0,1,1,1,1,1,1,1
Mani,4,335-23-6127,,Dr. Cunningham,1,1,0,1,1,1,1,1,1,1
Mario,52,726-84-1872,Cow's milk Pet Hair Wheat,Dr. Carrillo,1,1,0,1,1,1,1,1,1,1
Marwan,11,632-79-2233,Penicillin Latex Tree Nuts,Dr. Osborne,1,1,1,1,1,1,1,1,1,1
Massimo,15,892-67-6058,,Dr. Alexander,1,1,0,1,1,1,1,1,1,1
Matas,60,022-70-2158,Pollen,Dr. Alexander,1,1,1,1,1,1,1,1,1,1
Mate,4,734-23-4401,Pet Hair Wheat,Dr. Sherman,1,1,1,1,1,1,1,1,1,1
Mateo,8,371-03-8298,,Dr. Finch,1,1,0,1,1,1,1,1,1,1
Mathias,3,283-87-7603,,Dr. Gardner,1,1,1,1,1,1,1,1,1,1
Matt,44,244-91-8932,Pollen Soy,Dr. Myers,1,1,0,1,1,1,1,1,1,1
Maxi,65,686-77-4024,,Dr. Armstrong,1,1,1,1,1,1,1,1,1,1
Maxim,73,879-90-2237,Fish and shellfish Wheat,Dr. Mann,1,1,1,1,1,1,1,1,1,1
Maxime,69,945-81-7642,,Dr. Fuller,1,1,0,1,1,1,1,1,1,1
Maxx,63,534-98-7925,Penicillin Dust Mites,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Mckinley,50,540-15-6528,Penicillin,Dr. Gardner,1,1,1,1,1,1,1,1,1,1
Mieszko,48,534-60-5180,Penicillin,Dr. Vas,1,1,0,1,1,1,1,1,1,1
Miguel,64,810-20-3196,Mold Pollen,Dr. Bush,1,1,0,1,1,1,1,1,1,1
Mikaeel,45,059-39-9000,Dust Mites Mold,Dr. Mckenna,1,1,0,1,1,1,1,1,1,1
Millar,4,432-90-3835,Soy,Dr. Mejia,1,1,1,1,1,1,1,1,1,1
Mohanad,35,624-12-0096,Fish and shellfish,Dr. Wise,1,1,0,1,1,1,1,1,1,1
Murdoch,31,859-66-9081,Pet Hair Wheat,Dr. Gardner,1,1,1,1,1,1,1,1,1,1
Murtaza,72,905-90-0009,Mold,Dr. Romero,1,1,1,1,1,1,1,1,1,1
Naif,52,379-10-2440,Soy Cow's milk Wheat,Dr. Jones,1,1,0,1,0,1,1,0,0,0
Nate,66,373-64-4897,Wheat Soy Fish and shellfish,Dr. Parsons,1,1,1,1,1,1,1,1,1,1
Nelson,79,627-41-1235,Fish and shellfish Penicillin Mold,Dr. Patterson,1,1,0,1,0,1,1,1,1,0
Neo,27,058-00-5822,Dust Mites Penicillin Latex,Dr. Foster,1,1,0,1,1,1,1,1,1,1
Odhran,18,892-33-0362,Pet Hair Pollen Latex,Dr. Wise,1,1,1,1,1,1,1,1,1,1
Odin,74,311-98-4674,Mold Cow's milk Soy,Dr. Armstrong,1,1,1,1,1,1,1,1,1,1
Orhan,5,225-97-4333,Mold,Dr. Burgess,1,1,1,1,1,1,1,1,1,1
Orran,1,257-49-1348,Cow's milk Pollen Pet Hair,Dr. Elliott,1,1,0,1,1,1,1,1,1,1
Orrin,56,925-27-8977,Fish and shellfish Mold,Dr. Bush,1,1,0,1,1,1,1,1,1,1
Ossian,9,549-95-2769,,Dr. Wallace,1,1,0,1,0,1,1,0,0,0
Paddy,46,190-61-6656,Mold Pollen,Dr. Naylor,1,1,0,1,0,1,1,1,1,0
Padraig,23,018-44-2502,Pollen,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Paton,0,077-14-5923,Wheat Pet Hair Dust Mites,Dr. Waters,1,1,0,1,1,1,1,1,1,1
Patrik,69,951-57-1417,Cow's milk Wheat Pollen,Dr. Hawkins,1,1,1,1,1,1,1,1,1,1
Pearse,19,501-76-4957,Dust Mites,Dr. Jones,1,1,0,1,1,1,1,1,1,1
Presley,35,432-73-4926,,Dr. Pham,1,1,0,1,1,1,1,1,1,1
Raees,5,548-23-2599,Pet Hair Dust Mites Mold,Dr. Cruz,1,1,1,1,1,1,1,1,1,1
Raegan,29,569-55-7402,,Dr. Watson,1,1,1,1,1,1,1,1,1,1
Rafael,37,383-99-1164,Cow's milk Mold,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Raiden,63,912-71-0331,,Dr. Spencer,1,1,1,1,1,1,1,1,1,1
Raja,30,840-80-4388,Latex Cow's milk,Dr. Garcia,1,1,0,1,1,1,1,1,1,1
Rami,68,381-71-0317,Pet Hair Pollen,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Ramin,12,333-62-1063,Mold Fish and shellfish,Dr. Stanley,1,1,0,1,1,1,1,1,1,1
Ramsey,24,978-59-3521,Dust Mites Latex,Dr. Burns,1,1,0,1,1,1,1,1,1,1
Ranald,69,083-97-4425,Cow's milk,Dr. Wood,1,1,1,1,1,1,1,1,1,1
Rannoch,72,938-33-4381,,Dr. Cook,1,1,1,1,1,1,1,1,1,1
Rex,2,556-72-1410,,Dr. Leonard,1,1,1,1,1,1,1,1,1,1
Rheagan,69,450-16-1198,Mold Penicillin,Dr. Alexander,1,1,1,1,1,1,1,1,1,1
Rhian,32,565-40-1060,Dust Mites Latex,Dr. Romero,1,1,1,1,1,1,1,1,1,1
Rhiley,78,848-63-3959,Soy,Dr. Alvarado,1,1,0,1,1,1,1,1,1,1
Rhuraidh,54,635-62-7685,,Dr. Wallace,1,1,0,1,1,1,1,1,1,1
Rhylen,26,222-46-8624,Fish and shellfish,Dr. Nichols,1,1,1,1,1,1,1,1,1,1
Riyad,68,491-45-2816,,Dr. Wilkins,1,1,0,1,0,1,1,1,0,0
Rob,73,164-89-0616,Cow's milk Fish and shellfish Wheat,Dr. Osborne,1,1,0,1,0,1,0,0,0,0
Rocky,59,455-89-0650,Penicillin Pollen,Dr. Palmer,1,1,0,1,1,1,1,1,1,1
Ronin,58,468-55-6210,Dust Mites Tree Nuts Fish and shellfish,Dr. Armstrong,1,1,0,1,1,1,1,1,1,1
Ruadhan,11,402-28-3390,Fish and shellfish Wheat Latex,Dr. Dean,1,1,1,1,1,1,1,1,1,1
Ruaidhri,34,314-63-6664,,Dr. Nichols,1,1,0,1,0,1,1,1,0,0
Rui,43,847-26-6983,Soy Pet Hair Wheat,Dr. NicholsonDr. Brady,1,1,1,1,1,1,1,1,1,1
Ryaan,62,673-92-6975,Soy Pollen Pet Hair,Dr. Hunt,1,1,1,1,1,1,1,1,1,1
Ryden,53,455-30-7716,Cow's milk,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Rylen,59,474-02-6318,,Dr. Mann,1,1,1,1,1,1,1,1,1,1
Sammy,24,924-33-7694,,Dr. Taylor,1,1,0,1,1,1,1,1,1,1
Sean-Paul,18,104-47-0720,,Dr. Reed,1,1,1,1,1,1,1,1,1,1
Seonaidh,14,267-11-7492,Penicillin,Dr. Park,1,1,1,1,1,1,1,1,1,1
Seoras,20,124-61-0125,Wheat Soy,Dr. Wood,1,1,1,1,1,1,1,1,1,1
Shawn,13,490-68-6142,Pet Hair Dust Mites Fish and shellfish,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Shayaan,0,235-81-8605,Latex,Dr. Carlson,1,1,0,1,1,1,1,1,1,1
Shayan,73,671-42-6650,,Dr. Black,1,1,1,1,1,1,1,1,1,1
Sheldon,35,990-71-0649,Cow's milk Tree Nuts Dust Mites,Dr. Finch,1,1,0,1,1,1,1,1,1,1
Sinclair,53,542-50-1058,,Dr. Gibson,1,1,0,1,0,1,1,0,0,0
Sorley,26,668-92-5455,Wheat,Dr. Horton,1,1,0,1,1,1,1,1,1,1
Stevie,65,786-99-6965,Penicillin,Dr. Finch,1,1,0,1,1,1,1,1,1,1
Sulaiman,8,878-15-9251,,Dr. Gibbs,1,1,1,1,1,1,1,1,1,1
Sylvan,65,625-97-3297,,Dr. Naylor,1,1,1,1,1,1,1,1,1,1
T-Jay,56,247-72-4406,Soy Cow's milk Penicillin,Dr. Gibbs,1,1,1,1,1,1,1,1,1,1
Taio,21,375-56-6330,,Dr. Moran,1,1,1,1,1,1,1,1,1,1
Talha,64,561-10-9458,Penicillin,Dr. Gardner,1,1,0,1,1,1,1,1,1,1
Tate,68,152-04-9643,Cow's milk,Dr. O'Connor,1,1,0,1,1,1,1,1,1,1
Tay,45,223-73-2842,Pollen,Dr. Finch,1,1,0,1,0,1,1,1,1,0
Ted,25,816-07-7760,Pollen Mold Pet Hair,Dr. Brown,1,1,1,1,1,1,1,1,1,1
Thiago,63,591-15-1817,,Dr. Reynolds,1,1,1,1,1,1,1,1,1,1
Tomass,10,535-07-3013,,Dr. Stanley,1,1,1,1,1,1,1,1,1,1
Torren,19,161-04-5906,Latex Wheat,Dr. Burns,1,1,0,1,0,1,0,0,0,0
Torrin,31,936-31-2127,,Dr. Moran,1,1,0,1,0,1,1,1,0,0
Travi,51,458-78-8859,Latex,Dr. Burns,1,1,1,1,1,1,1,1,1,1
Tylor,29,019-16-9233,Mold Soy Cow's milk,Dr. Hamilton,1,1,1,1,1,1,1,1,1,1
Uilleam,80,946-31-4567,,Dr. Mckenna,1,1,1,1,1,1,1,1,1,1
Umair,68,239-82-9880,,Dr. Barnett,1,1,0,1,1,1,1,1,1,1
Umar,28,381-16-0631,,Dr. Watson,1,1,1,1,1,1,1,1,1,1
Umer,61,992-18-8933,Mold,Dr. Wise,1,1,1,1,1,1,1,1,1,1
Vakaris,30,598-88-7230,Dust Mites Tree Nuts,Dr. Patterson,1,1,0,1,1,1,1,1,1,1
Vaughn,42,134-48-3637,Dust Mites,Dr. Kaye,1,1,0,1,1,1,1,1,1,1
Viggo,79,836-37-5409,Pet Hair Cow's milk Tree Nuts,Dr. O'Connor,1,1,1,1,1,1,1,1,1,1
Viraj,23,150-39-1737,Cow's milk Pet Hair Penicillin,Dr. Herbert,1,1,0,1,1,1,1,1,1,1
Vojtech,31,244-13-3256,Penicillin Soy Tree Nuts,Dr. Leonard,1,1,1,1,1,1,1,1,1,1
Wilfred,7,280-69-3634,Soy,Dr. Fletcher,1,1,0,1,0,1,0,0,0,0
Winston,7,688-88-9258,Wheat Cow's milk,Dr. Herbert,1,1,1,1,1,1,1,1,1,1
Wyatt,56,060-95-3562,Pet Hair,Dr. Mejia,1,1,1,1,1,1,1,1,1,1
Yahia,5,835-45-3529,Penicillin,Dr. Brown,1,1,0,1,1,1,1,1,1,1
Yahya,12,995-55-4533,,Dr. Mohamed,1,1,1,1,1,1,1,1,1,1
Yan,71,532-48-0342,Pollen Fish and shellfish Tree Nuts,Dr. Fuller,1,1,0,1,0,1,0,0,0,0
Yousif,51,428-15-2050,Pollen Wheat Latex,Dr. Jones,1,1,0,1,0,1,1,1,0,0
Yuan,55,062-04-2642,Fish and shellfish Latex,Dr. Reed,1,1,1,1,1,1,1,1,1,1
Yuri,10,723-76-1763,Wheat Cow's milk Pollen,Dr. Brown,1,1,0,1,1,1,1,1,1,1
Zachariah,49,190-32-8690,Latex Fish and shellfish,Dr. Naylor,1,1,1,1,1,1,1,1,1,1
Zackary,44,194-40-2489,Pet Hair,Dr. Herbert,1,1,1,1,1,1,1,1,1,1
Zakk,74,911-02-6098,Wheat Tree Nuts Cow's milk,Dr. Rossi,1,1,1,1,1,1,1,1,1,1
Zayan,0,759-52-2422,,Dr. Horton,1,1,0,1,1,1,1,1,1,1
Zenon,23,189-47-3534,Cow's milk,Dr. Terry,1,1,0,1,1,1,1,1,1,1
Ziyad,28,827-97-4201,,Dr. Thompson,1,1,0,1,1,1,1,1,1,1
A-Jay,6,365-96-2455,Latex Fish and shellfish,Dr. Brown,1,1,0,1,1,1,1,1,1,1
Aaban,66,145-56-3691,Cow's milk Pet Hair Soy,Dr. Stevenson,1,1,1,1,1,1,1,1,1,1
Aaden,64,578-73-7642,Latex,Dr. Waters,1,1,0,1,1,1,1,1,1,1
Aadi,44,397-49-8958,,Dr. Cunningham,1,1,0,1,1,1,1,1,1,1
Aadil,59,445-97-2861,Penicillin Soy,Dr. Joyce,1,1,1,1,1,1,1,1,1,1
Aadyn,9,590-58-7381,Soy Tree Nuts,Dr. uez,1,1,0,1,1,1,1,1,1,1
Aagat,2,809-26-5769,Latex Tree Nuts Fish and shellfish,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Aahil,69,887-75-0230,Pollen Dust Mites,Dr. Barnett,1,1,0,1,1,1,1,1,1,1
Aarnav,46,640-78-4004,Penicillin Pollen,Dr. Naylor,1,1,0,1,1,1,1,1,1,1
Aaron-John,12,402-75-3703,,Dr. Love,1,1,0,1,1,1,1,1,1,1
Aaryn,31,232-87-9285,,Dr. Reed,1,1,1,1,1,1,1,1,1,1
Aashdon,6,954-54-3083,,Dr. Hamilton,1,1,1,1,1,1,1,1,1,1
Aaston,58,942-15-3486,,Dr. Myers,1,1,1,1,1,1,1,1,1,1
Abbad,26,383-28-6073,Soy,Dr. Boyd,1,1,0,1,0,1,1,1,0,0
Abbas,17,344-33-6389,,Dr. Cunningham,1,1,0,1,1,1,1,1,1,1
Abdalhai,58,444-04-1716,Tree Nuts Penicillin,Dr. Jimenez,1,1,1,1,1,1,1,1,1,1
Abdalkhalq,69,863-06-1265,,Dr. Jones,1,1,1,1,1,1,1,1,1,1
Abdelrahman,53,417-36-4853,Soy Dust Mites,Dr. Naylor,1,1,1,1,1,1,1,1,1,1
Abdelrauof,10,020-80-9482,Soy Penicillin,Dr. Peters,1,1,1,1,1,1,1,1,1,1
Abdorahman,27,805-19-0114,Cow's milk Fish and shellfish,Dr. Hamilton,1,1,0,1,0,1,1,1,1,0
Abdoul,47,256-56-5370,,Dr. Black,1,1,1,1,1,1,1,1,1,1
Abdualeem,63,240-82-5322,Dust Mites Penicillin,Dr. Fletcher,1,1,0,1,0,1,1,1,1,0
Abduallah,67,133-70-3608,Fish and shellfish Pollen,Dr. Mann,1,1,0,1,1,1,1,1,1,1
Abdul-Hakim,68,283-94-6551,Pet Hair,Dr. Wilkins,1,1,0,1,1,1,1,1,1,1
Abdul-Karim,57,410-08-7649,,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Abdul-Nafi,79,794-93-4071,Fish and shellfish,Dr. Peterson,1,1,1,1,1,1,1,1,1,1
Abdul-Rehman,7,697-17-6569,,Dr. uez,1,1,0,1,0,0,0,0,0,0
Abdul-Samad,11,466-10-5556,Soy,Dr. Reed,1,1,0,1,1,1,1,1,1,1
Abdula,65,814-51-7165,Wheat Mold Fish and shellfish,Dr. Stanley,1,1,0,1,1,1,1,1,1,1
Abdulhaq,7,602-62-9011,Wheat,Dr. Sims,1,1,0,1,1,1,1,1,1,1
Abdulkarim,12,388-44-4145,,Dr. Carey,1,1,0,1,1,1,1,1,1,1
Abdull,72,963-30-3243,Mold,Dr. Crossley,1,1,1,1,1,1,1,1,1,1
Abdulmohymen,76,123-13-9201,Cow's milk,Dr. Keller,1,1,0,1,0,1,1,1,0,0
Abdulrahim,71,847-87-3399,Dust Mites Mold Cow's milk,Dr. Palmer,1,1,1,1,1,1,1,1,1,1
Abdulrhman,3,456-92-7290,Latex Dust Mites,Dr. Horton,1,1,1,1,1,1,1,1,1,1
Abdur,35,957-30-7060,Soy Mold Latex,Dr. Jones,1,1,0,1,0,1,1,1,1,0
Abdur-Rahim,62,031-33-9118,Dust Mites,Dr. NicholsonDr. Brady,1,1,0,1,1,1,1,1,1,1
Abdurrhman,52,243-53-5096,Latex Wheat Mold,Dr. Fletcher,1,1,1,1,1,1,1,1,1,1
Abdusalam,16,981-24-8385,Tree Nuts,Dr. Sims,1,1,1,1,1,1,1,1,1,1
Abe,67,401-32-6512,Soy Latex,Dr. Williamson,1,1,0,1,1,1,1,1,1,1
Abedraouf,64,171-47-2480,Fish and shellfish Mold,Dr. Terry,1,1,1,1,1,1,1,1,1,1
Abhinav,24,761-64-2050,,Dr. Reynolds,1,1,0,1,0,1,1,0,0,0
Abhiram,52,540-82-7260,,Dr. Thornton,1,1,0,1,1,1,1,1,1,1
Abiola,4,535-13-9850,Pet Hair Fish and shellfish Soy,Dr. Crossley,1,1,1,1,1,1,1,1,1,1
Abobaker,72,789-78-0869,,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Abubakar,8,576-87-8197,Pollen,Dr. Thompson,1,1,1,1,1,1,1,1,1,1
Ace,44,538-42-0469,Tree Nuts Wheat,Dr. Khan,1,1,0,1,0,1,1,1,1,0
Adabpreet,8,466-05-8496,Penicillin,Dr. Wilkins,1,1,1,1,1,1,1,1,1,1
Adedimeji,5,168-15-3400,Penicillin,Dr. Carey,1,1,0,1,1,1,1,1,1,1
Adeeb,16,746-70-2789,Tree Nuts Cow's milk,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Adejinmi,38,749-61-9848,Wheat Soy Pollen,Dr. Barnett,1,1,1,1,1,1,1,1,1,1
Adem,58,554-20-3342,Latex Soy Pet Hair,Dr. Wallace,1,1,1,1,1,1,1,1,1,1
Adeswara,29,726-10-0143,Cow's milk,Dr. Park,1,1,1,1,1,1,1,1,1,1
Adetayo,59,853-44-5020,,Dr. Thornton,1,1,1,1,1,1,1,1,1,1
Adham,3,622-53-9630,Dust Mites Pet Hair Tree Nuts,Dr. Patterson,1,1,0,1,1,1,1,1,1,1
Adhamh,44,792-98-3496,,Dr. Barnett,1,1,1,1,1,1,1,1,1,1
Adhvik,28,272-53-8807,Mold,Dr. Wallace,1,1,0,1,1,1,1,1,1,1
Adil,12,827-31-8838,,Dr. uez,1,1,0,1,0,1,1,1,0,0
Adley,49,138-63-7750,Pet Hair Dust Mites Penicillin,Dr. Wilkins,1,1,0,1,1,1,1,1,1,1
Adnan,61,894-06-4761,Fish and shellfish Pet Hair,Dr. Gibson,1,1,1,1,1,1,1,1,1,1
Adrian-Lee,0,501-31-9379,,Dr. Thomas,1,1,0,1,1,1,1,1,1,1
Adryell,64,646-53-1465,Cow's milk Fish and shellfish,Dr. Carlson,1,1,0,1,0,1,1,1,0,0
Adyn,30,661-74-1957,Pollen Mold,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Affonso,50,295-40-9320,Mold Latex Fish and shellfish,Dr. Wise,1,1,0,1,1,1,1,1,1,1
Afton,22,535-67-3922,Dust Mites,Dr. Horton,1,1,1,1,1,1,1,1,1,1
Aghilas,72,275-36-5676,Soy,Dr. Hawkins,1,1,0,1,1,1,1,1,1,1
Ahmet,58,393-18-5832,Cow's milk,Dr. Terry,1,1,0,1,0,1,1,1,1,0
Ahmid,19,566-06-8741,Penicillin Tree Nuts Dust Mites,Dr. Stevenson,1,1,1,1,1,1,1,1,1,1
Ahron,18,272-40-9359,,Dr. Barnett,1,1,1,1,1,1,1,1,1,1
Aidan-Scott,32,953-03-4046,,Dr. Thornton,1,1,1,1,1,1,1,1,1,1
Aidanlee,77,994-86-2354,,Dr. Cook,1,1,0,1,1,1,1,1,1,1
Aide,1,690-02-5544,Pet Hair,Dr. Gibbs,1,1,0,1,1,1,1,1,1,1
Aidi,6,387-50-2462,,Dr. Foster,1,1,1,1,1,1,1,1,1,1
Aidian,35,444-83-3229,,Dr. Barnett,1,1,1,1,1,1,1,1,1,1
Aighan,0,876-07-4383,Fish and shellfish Wheat,Dr. Kaye,1,1,0,1,1,1,1,1,1,1
Ainoras,62,488-42-4830,Tree Nuts Soy,Dr. Carey,1,1,1,1,1,1,1,1,1,1
Airen,29,799-81-2115,Latex,Dr. Elliott,1,1,1,1,1,1,1,1,1,1
Airil,52,933-01-2289,Tree Nuts,Dr. Bush,1,1,1,1,1,1,1,1,1,1
Airyn,32,940-08-5892,Pet Hair,Dr. Sims,1,1,1,1,1,1,1,1,1,1
